model_name,video,batch_size,total_frames,gpu_compute_sec,throughput_fps,peak_gpu_gb,end_to_end_sec,rtf
dinov3_l,1738_avxeiaxxw6ocr.mp4,16,120,4.14,29.0,1.28,6.61,0.2754
dinov3_l,1738_aw3kercrl5skd.mp4,16,100,1.99,50.1,1.28,4.06,0.2028
dinov3_l,1741_al7xhsug05yz8.mp4,16,130,2.56,50.7,1.28,5.31,0.2042
dinov3_l,1742_ab2m9r2lve8xx.mp4,16,70,1.38,50.6,1.28,2.78,0.1985
dinov3_l,1742_aquyhla4h9s65.mp4,16,70,1.41,49.6,1.28,2.83,0.2025
dinov3_l,1744_ai0bkwrj1o6d3.mp4,16,90,1.8,50.1,1.28,3.61,0.2004
dinov3_l,1744_akerrmzngvusj.mp4,16,110,2.19,50.1,1.28,4.45,0.2022
dinov3_l,1746_a4p0ktbx5sbxq.mp4,16,130,2.61,49.8,1.28,5.33,0.2051
dinov3_l,1747_aas7m6x9khzm6.mp4,16,130,2.61,49.9,1.28,5.39,0.2072
dinov3_l,1751_agfexmjrgga80.mp4,16,130,2.6,50.0,1.28,5.41,0.208
dinov3_l,1752_abu41w8te4nzl.mp4,16,130,2.63,49.4,1.28,5.45,0.2096
dinov3_l,1752_ansv9ptu5va8b.mp4,16,130,2.6,50.0,1.28,5.35,0.2059
dinov3_l,1755_aibf0piq4lq43.mp4,16,130,2.61,49.8,1.28,5.41,0.2083
dinov3_l,1756_ao3dilukyt6fd.mp4,16,130,2.62,49.6,1.28,5.33,0.2049
dinov3_l,1757_aaeaaztoinvzx.mp4,16,130,2.6,50.0,1.28,5.46,0.2101
dinov3_l,1757_aebqf8o3tg8wm.mp4,16,130,2.62,49.7,1.28,5.51,0.2118
dinov3_l,1765_ayt7hdvmhndz1.mp4,16,130,2.6,50.0,1.28,5.35,0.2058
dinov3_l,1766_a2eh7inkqln16.mp4,16,130,2.61,49.8,1.28,5.47,0.2105
dinov3_l,1766_aws1oxqmaeg3d.mp4,16,130,2.59,50.2,1.28,5.33,0.2051
dinov3_l,1767_ak7ro2ewn2hen.mp4,16,130,2.59,50.1,1.28,5.38,0.2069
dinov3_l,1769_a3lbnazobo45s.mp4,16,130,2.65,49.1,1.28,5.55,0.2134
dinov3_l,1769_akarclpi8dv1z.mp4,16,130,2.6,50.0,1.28,5.47,0.2103
dinov3_l,1769_aomj4xzjyvjb3.mp4,16,130,2.63,49.5,1.28,5.38,0.207
dinov3_l,1771_au5v9dd1iya1u.mp4,16,130,2.63,49.4,1.28,5.44,0.2093
dinov3_l,1773_a5k6fgshvjmvl.mp4,16,130,2.62,49.5,1.28,5.44,0.2091
dinov3_l,1776_as3pvx4kblaoy.mp4,16,140,2.77,50.5,1.28,5.54,0.1978
dinov3_l,1777_akd6w6rwzvbnw.mp4,16,130,2.61,49.9,1.28,5.37,0.2066
dinov3_l,1777_al7f5c8drkjgc.mp4,16,130,2.65,49.0,1.28,5.45,0.2096
dinov3_l,1783_akxegh8qnmh0c.mp4,16,130,2.63,49.5,1.28,5.47,0.2106
dinov3_l,1784_a309lpf9tgfjk.mp4,16,130,2.59,50.1,1.28,5.38,0.2069
dinov3_l,1784_aiyuhn5z2juhw.mp4,16,130,2.58,50.3,1.28,5.33,0.2052
dinov3_l,1786_ans4q1hsh2anp.mp4,16,60,1.2,49.9,1.28,2.44,0.203
dinov3_l,1786_aslryruw4a18u.mp4,16,70,1.4,49.9,1.28,2.85,0.2034
dinov3_l,1799_ap1hxj7bm14zl.mp4,16,130,2.63,49.5,1.28,5.52,0.2121
dinov3_l,1801_a8yatrh43znfy.mp4,16,130,2.6,50.0,1.28,5.37,0.2067
dinov3_l,1805_aamuhq8h7htu4.mp4,16,130,2.6,50.1,1.28,5.39,0.2071
dinov3_l,1806_abadxcihw7eo7.mp4,16,130,2.66,48.9,1.28,5.48,0.2108
dinov3_l,1806_afmxk5dup5nak.mp4,16,130,2.64,49.2,1.28,5.47,0.2102
dinov3_l,1808_a3hsi84d9nx1o.mp4,16,130,2.6,50.1,1.28,5.37,0.2064
dinov3_l,1814_abujpl1vbmlpv.mp4,16,80,1.59,50.2,1.28,3.15,0.1969
