pipeline,timestamp_sec,mm_ss,predicted_class,confidence
vjepa2_attn,612.80,10:12.80,tackle-live,0.8683
dinov3_attn,614.20,10:14.20,tackle-live,0.7118
vjepa2_attn,616.00,10:16.00,tackle-live,0.8534
vjepa2_attn,636.80,10:36.80,tackle-live,0.8793
dinov3_lin,637.40,10:37.40,tackle-live,0.7625
vjepa2_attn,642.40,10:42.40,tackle-live,0.8539
vjepa2_attn,646.80,10:46.80,tackle-live,0.9032
dinov3_lin,647.20,10:47.20,tackle-live,0.8562
dinov3_attn,651.40,10:51.40,tackle-live,0.7137
vjepa2_attn,651.60,10:51.60,tackle-live,0.8490
dinov3_attn,662.00,11:02.00,tackle-replay,0.9956
vjepa2_attn,662.20,11:02.20,tackle-replay,0.9630
dinov3_lin,662.40,11:02.40,tackle-replay,0.9303
vjepa2_attn,670.00,11:10.00,tackle-replay,0.8023
dinov3_lin,687.20,11:27.20,tackle-live,0.9049
vjepa2_attn,688.20,11:28.20,tackle-live,0.9108
dinov3_attn,689.40,11:29.40,tackle-live,0.7891
dinov3_attn,698.40,11:38.40,tackle-live,0.8241
vjepa2_attn,698.60,11:38.60,tackle-live,0.7728
dinov3_lin,699.40,11:39.40,tackle-live,0.8414
dinov3_lin,704.60,11:44.60,tackle-live,0.8158
vjepa2_attn,707.20,11:47.20,tackle-live,0.9133
dinov3_attn,707.40,11:47.40,tackle-live,0.7102
dinov3_lin,708.80,11:48.80,tackle-live,0.7814
vjepa2_attn,711.00,11:51.00,tackle-live,0.8848
dinov3_lin,715.80,11:55.80,tackle-live,0.7199
vjepa2_attn,717.60,11:57.60,tackle-live,0.9279
dinov3_attn,718.00,11:58.00,tackle-live,0.7553
dinov3_lin,726.20,12:06.20,tackle-replay,0.7614
dinov3_lin,727.00,12:07.00,tackle-replay,0.7224
vjepa2_attn,728.20,12:08.20,tackle-replay,0.9529
dinov3_lin,728.60,12:08.60,tackle-replay,0.9500
dinov3_attn,728.80,12:08.80,tackle-replay,0.9893
dinov3_lin,739.40,12:19.40,tackle-replay,0.7419
vjepa2_attn,752.80,12:32.80,tackle-live,0.9028
dinov3_lin,761.60,12:41.60,tackle-live,0.8220
dinov3_attn,764.60,12:44.60,tackle-live,0.7291
vjepa2_attn,766.20,12:46.20,tackle-live,0.9454
